to	have
to	coax
be	pump
to	stimulate
to	care
have	hear
have	assault
have	face
do	know
having	miss
be	wait
to	take
to	pursue
to	land
would	allow
to	pay
be	go
to	split
to	win
could	get
to	beat
be	look
to	fight
to	help
be	affect
to	erect
be	lounge
be	hang
do	know
have	approve
be	back
to	see
be	walk
to	come
be	feel
would	serve
to	aggravate
to	stem
would	harmonise
to	inform
to	make
have	impress
to	meet
would	go
to	support
to	get
would	give
would	date
have	reach
to	enter
to	move
could	take
have	ask
to	close
to	lose
to	hold
to	resume
have	stop
to	take
to	emphasize
be	check
be	loiter
to	describe
be	browse
to	capitalise
have	conduct
have	bully
should	isolate
be	travel
be	wear
be	go
to	lie
do	feel
be	happen
do	think
could	say
should	have
be	sell
have	chase
be	chase
be	go
would	let
to	see
be	take
to	progress
to	understand
have	remain
to	be
would	be
have	be
to	serve
do	work
be	test
to	turn
be	pretend
to	shop
be	shop
have	share
be	study
be	have
be	welcome
to	help
to	be
be	carry
to	express
will	return
to	withdraw
to	promote
to	organize
have	ask
to	expand
to	gives
to	step
be	contest
be	have
to	meet
to	go
to	face
do	walk
be	pressurize
be	drop
would	comprise
to	cover
could	do
to	play
to	find
having	extricate
to	go
be	go
to	specialise
to	make
to	break
to	bite
be	place
to	leave
to	shorten
to	make
will	play
to	take
to	take
be	establish
be	try
to	rebuild
do	believe
to	be
to	create
can	work
to	find
would	turn
be	trail
be	getting
to	delay
have	repair
have	net
have	shove
have	become
to	spend
have	leave
to	settle
would	have
to	quit
do	have
do	have
to	find
to	get
to	close
to	create
would	treat
to	obstruct
be	go
to	take
to	post
to	do
to	continue
to	book
will	stick
be	trade
to	discuss
have	fade
could	use
to	teach
to	swallow
be	call
have	point
have	undergo
have	allege
have	be
have	send
to	work
can	see
be	go
to	resolve
have	suffer
be	suffer
to	recite
to	get
do	think
to	revive
have	conclude
have	take
do	specify
would	be
have	set
be	expect
might	be
have	respond
be	work
to	speed
to	make
to	talk
be	say
have	take
to	receive
to	investigate
be	expect
to	celebrate
to	celebrate
have	rubbish
be	draft
should	be
to	pressure
to	investigate
be	move
to	challenge
be	loom
to	go
will	be
to	be
have	be
to	figure
can	say
could	keep
to	make
to	abide
be	go
be	go
to	do
could	stop
have	secure
to	bring
've	hope
be	hope
would	recall
be	happen
to	do
to	limit
to	keep
have	find
to	voice
be	threaten
have	say
to	ensure
do	mention
to	go
be	consider
to	let
to	deliver
to	cook
would	roll
to	challenge
to	keep
do	name
be	refer
might	be
have	appear
to	get
be	talk
to	be
would	be
would	like
to	try
to	avoid
have	stall
will	happen
have	embrace
have	register
to	build
could	be
have	chide
have	say
to	protest
to	understand
will	present
have	designate
would	spoil
be	drive
be	drive
to	be
be	cheat
have	arrest
to	aid
be	leave
have	die
be	cross
to	join
to	provide
can	work
to	perform
to	transport
to	pose
to	have
to	move
to	speak
would	stop
to	serve
to	sleeper
have	offer
have	reduce
have	record
to	wait
to	put
to	approve
to	approve
have	reveal
be	witness
to	set
have	brace
would	get
would	be
to	have
to	defend
would	be
to	accede
to	organise
be	continue
do	have
to	have
will	feature
have	happen
must	confess
have	help
to	cancel
to	ask
have	pass
would	get
could	move
can	tell
can	tell
can	walk
have	lead
be	lead
to	develop
to	pick
be	jump
should	disburse
do	think
be	go
to	come
have	forget
can	go
to	take
to	remove
be	drive
be	scream
be	go
to	do
would	appear
to	prohibit
do	cross
can	control
to	believe
will	set
to	say
to	do
to	accommodate
will	demonstrate
be	demonstrate
have	advise
be	advise
could	use
to	be
to	be
be	do
do	recognise
to	tell
to	cheat
to	figure
be	allude
do	matter
may	oppress
to	observe
to	see
can	be
do	answer
would	persist
do	challenge
to	get
would	come
to	endure
have	endure
’re	look
to	get
to	match
be	try
to	prepare
to	do
’re	go
