have	consider
to	measure
to	demonstrate
to	pass
have	maintain
to	use
be	get
will	work
be	carry
have	host
to	study
be	examine
to	conduct
to	mention
to	join
do	know
be	do
would	like
to	help
to	characterize
have	be
would	have
have	have
to	work
to	purchase
do	have
to	achieve
to	be
have	replicate
to	reference
would	evoke
to	comment
to	smell
be	work
have	train
to	be
to	make
could	see
to	use
to	store
to	use
to	do
have	involve
to	be
be	care
to	drop
to	analyse
’re	look
have	take
have	circulate
will	go
to	look
be	lean
could	hear
be	drink
be	look
to	deploy
to	secure
have	sell
to	protect
could	hit
be	go
to	hold
to	question
be	do
to	resign
be	leave
to	chance
to	have
could	be
have	be
be	mimic
to	combine
to	use
be	use
to	make
to	have
to	exact
to	do
do	tell
do	know
to	find
can	attribute
to	get
to	take
could	work
would	send
be	look
to	see
be	go
to	sleep
to	enjoy
be	go
have	do
to	lay
be	receive
to	feature
could	read
could	remember
would	use
be	use
've	sing
've	hear
would	know
could	get
to	announce
to	train
to	conclude
have	write
be	sit
be	run
to	acquire
will	make
do	agree
might	make
may	be
to	achieve
to	exploit
to	allow
to	simplify
to	exploit
to	define
to	suppress
to	work
have	be
to	be
to	identify
to	accompany
to	complete
could	eat
do	eat
do	wait
would	represent
would	find
have	deteriorate
to	ensure
to	determine
to	recover
be	try
to	harm
have	work
to	achieve
to	flash
to	write
could	do
to	get
to	join
do	want
to	leave
could	see
be	go
to	take
to	be
could	stop
could	do
to	sacrifice
would	make
be	carry
to	have
can	find
to	kick
to	have
to	sit
to	monitor
do	agree
have	try
would	fire
should	direct
have	direct
to	use
have	write
can	tell
could	explain
do	own
do	understand
do	like
to	be
would	be
should	improve
to	have
could	call
have	call
to	assist
to	do
to	be
could	distract
have	distract
do	help
to	save
could	work
to	fail
to	incorporate
have	place
to	form
have	hold
have	decline
to	give
have	sign
to	monitor
can	influence
be	develop
have	apprehend
have	ask
have	ask
to	do
to	limit
to	ban
to	reopen
to	dismiss
have	find
must	commence
to	build
will	use
to	appeal
to	select
be	lack
have	destroy
to	quantify
to	identify
to	tie
have	indict
do	walk
must	say
to	see
should	swing
be	go
've	use
'll	change
would	cope
do	stop
to	turn
would	have
to	be
to	push
’ll	have
to	think
could	become
be	indulge
to	find
would	drop
be	rain
to	record
be	consider
to	chastise
have	allow
to	target
to	lead
be	stand
to	come
have	come
to	come
have	cease
will	name
do	have
to	give
to	try
to	figure
to	speak
be	hold
to	do
be	perform
to	work
to	continue
would	think
to	give
be	give
have	decide
to	leave
to	erect
to	cost
have	cost
be	blow
would	be
could	get
have	hear
do	occur
to	explain
to	top
be	attend
to	find
to	perfection
have	be
be	like
to	be
be	bleach
be	expect
to	thrust
do	invite
can	do
could	flatten
be	meditate
to	find
be	follow
would	lower
have	lower
would	win
have	win
be	go
to	convince
to	join
to	celebrate
to	encourage
need	mean
to	denote
to	highlight
have	eat
have	eat
have	eat
to	design
do	think
can	get
to	rest
to	hunt
be	counsel
to	revamp
to	run
to	re
to	present
to	keep
do	have
be	demonstrate
to	clean
be	demonstrate
to	make
to	publish
have	be
to	use
to	pull
to	raise
to	intercept
to	expand
to	expect
to	work
be	drive
be	show
be	send
should	run
have	lose
to	understand
be	say
to	love
to	direct
to	mention
may	be
m	move
having	meet
have	serve
would	accept
to	determine
to	identify
to	use
to	classify
to	be
may	speak
to	reform
to	eradicate
to	get
to	have
have	young
have	grant
to	seal
have	rebound
to	map
be	stare
be	put
have	cancel
to	fill
to	hold
to	examine
have	date
to	pin
be	spend
have	be
to	touch
be	cause
have	construct
to	steer
to	support
have	benefit
would	like
to	think
would	occur
would	have
to	upholster
to	accompany
have	decide
to	hang
will	burn
to	manage
to	use
to	come
may	be
have	shoot
be	shoot
can	take
will	be
to	make
be	cook
would	check
be	read
to	witness
to	create
to	send
to	fuel
would	be
would	be
have	point
have	use
to	highlight
to	prepare
be	investigate
to	ask
to	litigate
have	order
must	place
to	salary
to	encourage
to	save
have	say
can	assume
be	refer
will	weight
will	work
to	win
to	say
to	think
to	think
to	see
can	act
would	understand
have	understand
do	suggest
to	use
to	multiply
be	conduct
to	be
have	track
be	track
be	pull
to	wipe
be	say
will	answer
be	say
to	exploit
to	restrain
to	offer
to	pay
to	be
do	care
to	oversee
to	be
to	see
to	guide
be	generate
can	see
be	meet
to	approve
sat	think
do	have
to	throw
have	do
may	upset
have	upset
be	consider
to	pay
to	look
have	come
have	point
to	convert
have	wear
to	follow
have	deal
will	form
be	rest
to	get
to	dig
have	outlive
to	cater
to	assist
could	pick
have	see
would	bring
to	deal
to	program
to	be
to	begin
to	analyse
to	coerce
to	execute
to	keep
to	underpin
have	say
may	pursue
be	shoot
to	consider
can	see
have	be
to	find
to	identify
to	investigate
to	go
be	continue
to	monitor
be	burn
have	abuse
be	abuse
to	field
would	drive
have	be
to	pass
to	be
to	conclude
to	prove
be	operate
be	rain
to	become
be	wait
to	hear
do	differ
to	introduce
be	stand
have	go
be	wash
be	go
to	drive
to	explain
be	expand
to	cope
to	reach
to	call
to	appoint
to	serve
to	train
can	see
have	hand
to	keep
could	rule
would	come
be	work
to	come
to	transform
would	happen
to	do
to	be
to	compare
be	stand
would	be
having	have
to	read
to	stop
to	confirm
to	work
to	walk
to	do
to	get
to	create
to	compare
to	help
to	ordain
to	transfer
to	be
to	infer
to	expect
would	require
to	rescue
to	talk
do	enable
to	determine
be	formulate
be	look
be	record
to	re
may	have
to	be
have	raise
would	attach
be	cause
can	see
do	form
to	ether
be	ace
be	sit
to	get
be	go
to	be
could	transform
do	take
be	do
to	open
to	create
to	lose
to	ease
be	resent
to	come
to	redo
will	be
be	try
to	get
to	include
have	be
to	affect
have	affect
to	have
